No.,Indicator,Industry,Stocks,2023,2024,6M_2023,6M_2024,9M_2023,9M_2024,Q1_2023,Q1_2024,Q2_2023,Q2_2024,Q3_2023,Q3_2024,Q4_2023,Q4_2024
74,2. Người mua trả tiền trước dài hạn,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,",,,,,"15,024,071,903",,,,,,"15,024,071,903",,,
75,3. Chi phí phải trả dài hạn,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,",,,,,"819,945,832,396",,,,,,"819,945,832,396",,"932,459,850",
76,6. Doanh thu chưa thực hiện dài hạn,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","167,824,025,191","132,607,025,021","168,218,676,482","154,602,046,912","137,375,206,647","167,014,213,961","155,550,755,872","155,725,926,933","168,758,250,676","160,895,354,803","137,375,206,647","167,014,213,961","167,909,364,360","132,607,025,021"
77,7. Phải trả dài hạn khác,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","917,274,313,064","1,056,759,745,753","906,710,114,266","1,081,997,876,636","901,130,118,172","1,079,152,074,080","890,651,986,431","1,072,515,949,608","899,618,820,128","1,082,010,145,831","901,130,118,172","1,079,152,074,080","925,306,293,050","1,056,359,745,753"
78,8. Vay và nợ thuê tài chính dài hạn,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","2,651,083,591,206","2,077,385,408,482","2,826,830,275,708","2,979,556,473,130","2,021,686,380,518","2,985,657,911,849","2,962,457,262,395","3,141,019,406,760","2,878,236,555,052","3,096,315,096,991","2,021,686,380,518","2,985,657,911,849","2,759,974,488,326","2,123,999,315,260"
79,11. Thuế thu nhập hoãn lại phải trả,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","413,607,625,616","485,811,784,991","342,847,009,104","463,845,077,486","381,668,037,054","453,032,774,150","268,827,550,216","499,476,573,756","342,917,926,911","453,205,529,799","381,668,037,054","453,032,774,150","422,015,672,182","485,811,784,991"
80,12. Dự phòng phải trả dài hạn,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","108,098,457,097","282,908,348,205","78,561,627,118","143,728,202,050","85,580,004,596","201,806,250,642","68,505,473,295","130,885,040,110","59,017,692,871","142,996,918,312","85,580,004,596","201,806,250,642","119,809,324,910","306,549,422,915"
81,13. Quỹ phát triển khoa học và công nghệ,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","4,485,859,795","192,096,283","16,740,669,694","17,355,488,219","11,183,294,935","8,998,659,514","21,953,865,821","9,465,081,599","16,740,669,694","17,355,488,219","11,183,294,935","8,998,659,514","6,485,859,795","192,096,283"
82,B. VỐN CHỦ SỞ HỮU,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","35,765,328,290,373","38,254,490,019,038","34,744,606,363,648","38,721,680,008,237","34,589,322,235,099","41,574,343,729,610","33,131,750,147,856","37,697,164,041,211","34,758,530,799,308","38,772,731,622,585","34,589,322,235,099","41,574,343,729,610","36,255,481,123,165","38,255,479,501,719"
83,I. Vốn chủ sở hữu,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","35,762,578,290,373","38,251,740,019,038","34,741,856,363,648","38,718,930,008,237","34,586,572,235,099","41,571,593,729,610","33,129,000,147,856","37,694,414,041,211","34,755,780,799,308","38,769,981,622,585","34,586,572,235,099","41,571,593,729,610","36,252,731,123,165","38,252,729,501,719"
84,1. Vốn góp của chủ sở hữu,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","18,949,266,970,000","18,824,664,180,000","16,663,472,460,000","20,868,181,880,000","18,714,154,630,000","20,867,763,880,000","16,590,421,960,000","18,953,389,970,000","16,663,472,460,000","20,868,181,880,000","18,714,154,630,000","20,867,763,880,000","18,949,266,970,000","18,824,664,180,000"
85, Cổ phiếu phổ thông có quyền biểu quyết,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","18,949,266,970,000","18,824,664,180,000","16,663,472,460,000","20,868,181,880,000","18,714,154,630,000","20,867,763,880,000","16,590,421,960,000","18,953,389,970,000","16,663,472,460,000","20,868,181,880,000","18,714,154,630,000","20,867,763,880,000","18,949,266,970,000","18,824,664,180,000"
86,2. Thặng dư vốn cổ phần,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","177,037,628,347","149,975,087,947","566,601,822,063","177,037,628,347","262,447,412,063","177,037,628,347","566,601,822,063","177,037,628,347","566,601,822,063","177,037,628,347","262,447,412,063","177,037,628,347","187,670,558,017","149,975,087,947"
87,4. Vốn khác của chủ sở hữu,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","2,304,364,922,535","1,929,012,703,454","1,512,077,783,880","2,303,842,470,749","1,554,727,773,425","2,303,842,470,749","1,512,077,783,880","2,303,842,470,749","1,512,077,783,880","2,303,842,470,749","1,554,727,773,425","2,303,842,470,749","2,304,265,063,425","1,929,012,703,454"
88,5. Cổ phiếu quỹ (*),Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","-721,880,000",,"-902,880,000","-1,139,880,000","-721,880,000","-749,880,000","-721,880,000","-1,007,880,000","-902,880,000","-1,139,880,000","-721,880,000","-749,880,000","-721,880,000",
89,7. Chênh lệch tỷ giá hối đoái,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","-6,736,196,163","-42,340,914,538","-58,948,561,508","-39,267,829,492","-36,664,090,218","-24,457,888,334","-35,770,872,257","-22,135,502,433","-56,318,526,107","-26,833,844,772","-36,664,090,218","-24,457,888,334","-8,192,985,208","-42,340,914,538"
90,8. Quỹ đầu tư phát triển,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","1,625,609,770,590","2,186,028,636,015","1,297,544,438,621","1,766,875,449,932","1,389,272,159,731","1,862,946,578,582","1,242,777,118,436","1,702,535,461,260","1,297,544,429,397","1,766,875,449,932","1,389,272,159,731","1,862,946,578,582","1,637,197,511,818","2,186,028,636,015"
91,10. Quỹ khác thuộc vốn chủ sở hữu,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","92,403,093,024","92,930,484,825","92,403,093,024","92,930,484,825","92,403,093,024","92,930,484,825","92,403,093,024","92,930,484,825","92,403,093,024","92,930,484,825","92,403,093,024","92,930,484,825","92,403,093,024","92,930,484,825"
92,11. Lợi nhuận sau thuế chưa phân phối,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","6,528,342,800,139","8,823,687,423,439","9,290,322,153,067","7,159,011,753,865","6,894,601,903,598","9,439,805,611,261","7,765,871,998,954","8,441,588,211,676","9,292,344,868,858","7,146,469,058,924","6,894,601,903,598","9,439,805,611,261","7,015,121,316,527","8,824,676,906,120"
93, LNST chưa phân phối lũy kế đến cuối kỳ trước,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","2,556,426,722,577","2,938,741,871,951","6,121,648,383,510","3,289,827,699,020","3,405,830,174,871","3,264,075,895,504","6,191,370,798,619","6,502,329,782,689","6,112,933,045,640","3,286,981,853,654","3,405,830,174,871","3,264,075,895,504","2,578,447,213,341","2,918,728,402,054"
94, LNST chưa phân phối kỳ này,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","3,971,916,077,562","5,884,945,551,488","3,168,673,769,557","3,869,184,054,845","3,488,771,728,727","6,150,093,322,407","1,574,501,200,335","1,911,716,741,609","3,179,411,823,218","3,859,487,205,270","3,488,771,728,727","6,150,093,322,407","4,436,674,103,186","5,881,586,270,312"
95,13. Lợi ích cổ đông không kiểm soát,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","6,093,011,181,901","6,287,782,417,896","5,379,286,054,501","6,391,458,050,011","5,716,351,233,476","6,852,474,844,180","5,395,339,123,756","6,046,233,196,787","5,388,557,748,193","6,442,618,374,580","5,716,351,233,476","6,852,474,844,180","6,075,721,475,562","6,287,782,417,896"
96,II. Nguồn kinh phí và quỹ khác,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","2,750,000,000","2,750,000,000","2,750,000,000","2,750,000,000","2,750,000,000","2,750,000,000","2,750,000,000","2,750,000,000","2,750,000,000","2,750,000,000","2,750,000,000","2,750,000,000","2,750,000,000","2,750,000,000"
97,1. Nguồn kinh phí,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","2,750,000,000","2,750,000,000","2,750,000,000","2,750,000,000","2,750,000,000","2,750,000,000","2,750,000,000","2,750,000,000","2,750,000,000","2,750,000,000","2,750,000,000","2,750,000,000","2,750,000,000","2,750,000,000"
98,TỔNG CỘNG NGUỒN VỐN,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","77,113,242,259,086","81,111,672,768,784","77,498,496,617,239","82,524,561,320,255","79,590,177,910,770","84,882,746,871,895","67,672,002,046,124","78,684,548,310,896","77,707,856,786,105","82,528,812,333,002","79,590,177,910,770","84,882,746,871,895","77,819,943,232,783","81,084,553,023,316"
99,1. Doanh thu bán hàng và cung cấp dịch vụ,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","64,118,188,669,676","66,668,978,528,655","29,129,762,697,362","34,972,996,895,890","46,034,218,645,743","54,286,750,650,227","14,157,214,096,729","16,483,611,683,245","14,975,159,127,706","18,485,676,648,486","16,904,455,948,381","19,313,753,754,335","18,083,420,245,197","19,024,237,129,862"
100,2. Các khoản giảm trừ doanh thu,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","11,080,527,419","114,160,551,192","3,064,950,284","1,313,249,834","5,261,273,612","73,475,668,798","2,912,241,677","650,087,163","254,132,353","875,662,671","2,196,323,328","72,165,060,054","5,819,253,807","43,271,947,048"
101,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","64,107,108,142,257","66,554,817,977,463","29,126,697,747,078","34,971,683,646,056","46,028,957,372,131","54,213,274,981,429","14,154,301,855,052","16,482,961,596,082","14,974,904,995,353","18,484,800,985,815","16,902,259,625,053","19,241,588,694,281","18,077,600,991,390","18,980,965,182,814"
102,4. Giá vốn hàng bán,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","41,670,072,755,142","42,032,583,140,770","19,008,281,478,162","22,801,298,023,658","29,775,975,069,458","35,217,753,899,304","9,108,491,456,283","10,494,140,057,718","9,912,378,877,184","12,291,398,479,895","10,767,807,189,896","12,416,748,406,224","11,845,865,289,345","12,216,348,325,557"
103,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","22,437,035,387,115","24,522,234,836,693","10,118,416,268,916","12,170,385,622,398","16,252,982,302,673","18,995,521,082,125","5,045,810,398,769","5,988,821,538,364","5,062,526,118,169","6,193,402,505,920","6,134,452,435,157","6,824,840,288,057","6,231,735,702,045","6,764,616,857,257"
104,6. Doanh thu hoạt động tài chính,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","2,756,913,566,369","2,265,629,609,945","1,494,961,361,495","1,210,930,613,672","2,103,844,606,021","1,742,805,143,340","758,091,409,423","547,557,858,942","734,867,661,125","664,733,922,340","608,883,244,526","531,883,366,668","650,977,476,408","606,769,068,378"
105,7. Chi phí tài chính,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","2,249,992,682,405","2,142,400,362,029","1,053,768,473,573","904,600,723,527","1,597,222,537,967","1,337,998,106,443","617,349,001,191","432,180,395,451","431,046,398,575","487,889,829,052","543,599,804,394","433,479,702,916","645,522,854,561","893,657,323,170"
106,Trong đó :Chi phí lãi vay,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","1,331,137,865,764","871,221,704,466","625,517,817,334","502,345,687,117","1,019,437,818,741","742,279,507,446","264,227,870,658","928,188,139,953","352,358,943,798","338,816,464,282","393,920,001,407","239,029,696,732","322,783,311,011","193,231,371,958"
107,"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","78,653,933,181","393,502,619,551","-1,392,342,183","151,523,354,777","50,199,362,010","300,923,389,888","52,236,327,850","82,905,570,980","-53,611,453,570","68,606,512,872","51,591,704,193","149,400,035,111","63,683,023,062","117,934,351,889"
108,9. Chi phí bán hàng,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","5,885,865,354,279","6,310,083,667,339","2,627,717,913,488","3,279,671,357,691","4,219,746,927,331","5,025,599,403,570","1,241,694,964,931","1,521,485,357,614","1,384,943,712,100","1,755,978,942,326","1,592,029,013,843","1,745,894,159,842","1,505,058,901,013","1,731,729,740,443"
109,10. Chi phí quản lý doanh nghiệp,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","8,048,546,213,715","7,590,813,063,256","3,381,953,510,111","3,882,240,609,714","5,418,691,901,643","5,982,448,851,501","1,779,601,973,122","1,983,691,691,659","1,598,080,568,949","1,925,229,301,924","2,036,660,315,482","2,107,155,143,424","2,409,155,516,263","2,016,007,661,705"
110,11. Lợi nhuận thuần từ hoạt động kinh doanh,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","9,088,198,636,266","11,138,069,973,565","4,548,545,391,056","5,466,326,899,915","7,171,364,903,763","8,693,203,253,839","2,217,492,196,798","2,681,927,523,562","2,329,711,646,100","2,757,644,867,830","2,622,638,250,157","3,219,594,683,654","2,386,658,929,678","2,847,925,552,206"
111,12. Thu nhập khác,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","239,605,280,349","481,480,333,225","95,201,566,845","85,887,421,481","160,028,910,848","128,153,349,517","44,541,886,304","46,498,133,208","55,770,849,818","39,579,631,770","65,757,344,003","42,178,722,161","73,102,042,008","533,400,976,925"
112,13. Chi phí khác,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","137,841,858,210","145,024,805,075","50,073,874,049","48,183,836,623","110,957,006,141","136,381,207,318","22,944,976,146","32,976,445,516","31,418,317,489","10,175,107,685","61,363,132,092","88,118,972,722","25,083,133,237","192,570,688,539"
113,14. Lợi nhuận khác,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","101,763,422,139","336,455,528,150","45,127,692,796","37,703,584,858","49,071,904,707","-8,227,857,801","21,596,910,158","13,521,687,692","24,352,532,329","29,404,524,085","4,394,211,911","-45,940,250,561","48,018,908,771","340,830,288,386"
114,15. Tổng lợi nhuận kế toán trước thuế,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","9,189,962,058,405","11,474,525,501,715","4,593,673,083,852","5,504,030,484,773","7,220,436,808,470","8,684,975,396,038","2,239,089,106,956","2,695,449,211,254","2,354,064,178,429","2,787,049,391,915","2,627,032,462,068","3,173,654,433,093","2,434,677,838,449","3,188,755,840,592"
115,16. Chi phí thuế TNDN hiện hành,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","1,521,270,152,689","1,968,250,515,500","677,802,171,692","990,435,248,623","1,054,792,796,186","1,464,939,248,932","326,648,435,430","410,967,472,457","351,170,202,102","579,167,559,454","376,990,624,494","474,649,721,653","457,022,611,403","560,774,062,685"
116,17. Chi phí thuế TNDN hoãn lại,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","611,058,972","-284,004,400,167","31,081,522,792","-182,210,535,799","40,073,838,463","-203,495,062,723","1,735,080,620","-14,880,687,084","29,417,359,983","-177,994,947,734","8,992,315,671","-21,284,526,925","-39,129,010,710","-82,938,648,575"
117,18. Lợi nhuận sau thuế thu nhập doanh nghiệp,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","7,668,080,846,744","9,790,279,386,382","3,884,789,389,368","4,695,805,771,949","6,125,570,173,821","7,423,531,209,829","1,910,705,590,906","2,299,362,425,881","1,973,476,616,344","2,385,876,780,195","2,241,049,521,903","2,720,289,238,365","2,016,784,237,756","2,710,920,426,482"
118,Lợi ích của cổ đông thiểu số,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","1,429,362,800,076","1,614,886,003,561","705,254,334,365","826,621,717,104","1,081,791,201,046","1,263,420,347,861","335,644,331,907","387,607,826,650","369,573,550,437","437,707,666,045","376,536,866,681","436,798,630,756","347,835,195,588","422,192,781,956"
119,Lợi nhuận sau thuế của cổ đông của Công ty mẹ,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","6,238,718,046,668","8,175,393,382,821","3,179,535,055,003","3,869,184,054,845","5,043,778,972,775","6,160,110,861,968","1,575,061,258,999","1,911,754,599,231","1,603,903,065,907","1,948,169,114,150","1,864,512,655,222","2,283,490,607,609","1,668,949,042,168","2,288,727,644,526"
120,19. Lãi cơ bản trên cổ phiếu,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","6,002","9,951","3,244","3,340","4,481","7,055",931,"2,047","2,400","2,508",878,"2,600","3,479","4,940"
121,20. Lãi suy giảm trên cổ phiếu,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","4,884","6,199","2,769","3,557","5,348","5,086","1,613","2,312","1,905",983,"1,403","1,886",415,"2,911"
122,1. Lợi nhuận trước thuế,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","9,193,029,980,354","11,472,691,563,468","4,597,515,175,015","5,511,244,345,296","7,222,728,102,471","8,686,997,789,102","2,241,648,304,144","2,696,499,371,466",,,,,,
123,Khấu hao TSCĐ và BĐSĐT,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","2,974,833,905,390","2,887,084,101,485","1,385,595,514,526","1,613,716,766,102","2,102,976,046,428","2,530,321,351,937","674,492,380,181","795,966,671,645",,,,,,
124,Các khoản dự phòng,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","1,310,251,298,916","1,307,628,133,822","35,794,939,016","7,158,326,675","113,028,870,164","217,963,658,584","107,069,903,393","28,406,498,272",,,,,,
125,"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệchưa thực hiện",Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","-38,663,570,228","44,707,713,356","-93,102,866,398","-75,886,969,919","18,592,020,631","119,357,793,902","9,971,489,030","-22,589,602,700",,,,,,
126,"Lãi, lỗ từ hoạt động đầu tư",Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","-2,369,270,339,810","-2,107,135,388,766","-1,223,632,301,407","-940,131,923,457","-1,858,359,662,108","-1,694,504,802,985","-718,739,835,439","-426,912,857,267",,,,,,
127,Chi phí lãi vay,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","1,328,848,485,072","868,054,138,993","622,549,203,631","500,319,095,007","1,014,675,641,102","739,941,795,856","262,654,521,826","239,147,506,163",,,,,,
128,Điều chỉnh cho các khoản khác,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","-2,092,659,257",,"-534,131,999","49,947,961","7,633,997,710","6,711,431,688","2,730,705,233","2,648,524,735",,,,,,
129,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","12,396,937,100,437","14,473,030,262,358","5,324,185,532,384","6,616,469,587,665","8,621,275,016,398","10,606,789,018,084","2,579,827,468,368","3,313,166,112,314",,,,,,
130,"Tăng, giảm các khoản phải thu",Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","-1,146,137,206,153","-2,058,061,625,167","191,566,595,916","-1,226,850,057,040","-733,255,629,139","-2,288,565,835,855","-69,331,380,506","-106,159,267,586",,,,,,
131,"Tăng, giảm hàng tồn kho",Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","520,242,567,347","-276,034,460,462","-149,789,321,943","-547,975,669,770","106,082,219,608","-834,073,836,260","-177,868,108,777","-351,233,284,720",,,,,,
132,"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)",Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","1,311,336,964,076","3,988,934,030,729","-1,960,816,566,560","183,547,620,687","217,727,275,605","1,650,077,511,776","-2,740,554,136,411","-2,015,967,429,604",,,,,,
133,"Tăng, giảm chi phí trả trước",Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","21,988,105,537","-425,027,219,115","-87,753,274,569","-79,328,554,712","-223,449,184,506","-212,358,190,417","-145,181,931,127","-178,067,325,397",,,,,,
134,Tiền lãi vay đã trả,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","-1,155,551,475,788","-1,118,588,517,809","-509,209,602,065","-405,567,991,223","-731,946,272,280","-653,474,644,312","-275,676,045,602","-213,307,567,566",,,,,,
135,Thuế thu nhập doanh nghiệp đã nộp,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","-1,063,401,850,712","-1,237,657,171,928","-496,800,908,223","-926,318,339,084","-758,844,537,780","-1,155,241,980,447","-315,591,538,220","-679,173,420,239",,,,,,
136,Tiền thu khác từ hoạt động kinh doanh,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,",,,,"422,167,972","2,509,885,161","10,218,471,630","103,088,000","100,221,558",,,,,,
137,Tiền chi khác từ hoạt động kinh doanh,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","-406,634,322,419","-480,516,055,057","-297,785,273,281","-419,891,001,380","-329,709,201,358","-401,696,709,690","-234,251,348,179","-374,435,956,382",,,,,,
138,Lưu chuyển tiền thuần từ hoạt động kinh doanh,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","10,478,779,882,325","12,866,079,243,549","2,013,597,181,659","3,194,507,763,115","6,170,389,571,709","6,721,673,804,509","-1,378,523,932,454","-605,077,917,622",,,,,,
139,"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","-4,876,825,724,203","-4,352,816,966,441","-2,633,445,067,528","-1,929,218,150,245","-3,903,255,252,828","-2,990,368,254,520","-1,306,884,581,985","-836,758,479,142",,,,,,
140,"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","31,692,745,856","110,102,669,543","12,799,485,971","12,160,856,603","20,660,142,801","13,863,326,410","11,586,480,653","10,538,685,524",,,,,,
141,"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","-36,192,871,585,189","-45,497,305,839,393","-21,796,128,744,549","-23,390,218,343,651","-28,213,080,036,257","-32,701,653,262,856","-7,016,012,619,194","-10,906,486,764,443",,,,,,
142,"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","33,228,717,989,145","39,691,956,033,154","14,544,119,693,691","19,502,826,633,566","21,663,765,762,155","29,092,471,324,533","6,377,225,354,431","8,717,656,879,887",,,,,,
143,5. Tiền chi đầu tư góp vốn vào đơn vị khác,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","-1,780,728,786,335","-1,203,189,744,264","-451,443,840,661","-790,698,115,412","-736,965,487,531","-885,144,023,876","-320,015,795,863","-741,610,887,882",,,,,,
144,6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","167,805,539,248","369,182,458,546","511,034,643","31,812,360,000","117,609,906,000","46,812,360,000",,"31,812,360,000",,,,,,
145,"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","2,283,163,024,988","1,855,424,601,117","1,235,230,063,372","1,002,321,680,830","1,616,077,170,545","1,501,960,936,827","263,242,210,053","341,860,471,622",,,,,,
146,Lưu chuyển tiền thuần từ hoạt động đầu tư,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","-7,139,046,796,490","-9,026,646,787,738","-9,088,357,375,061","-5,561,013,078,309","-9,435,187,795,115","-5,922,057,593,482","-1,990,858,951,905","-3,382,987,734,434",,,,,,
147,"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","99,819,060,000","173,342,989,874","77,116,140,000","14,553,000,000","84,116,770,000","71,781,079,874",,"4,553,000,000",,,,,,
148,"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","-181,000,000",,"-181,000,000","-418,000,000","7,299,000,000","-688,000,000","26,168,984,884","-286,000,000",,,,,,
149,3. Tiền thu từ đi vay,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","38,195,275,233,471","33,429,039,450,280","20,118,807,518,179","20,078,914,708,048","29,590,805,272,185","28,729,133,601,057","7,766,187,859,352","11,349,716,019,497",,,,,,
150,4. Tiền chi trả nợ gốc vay,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","-36,442,547,847,874","-32,956,489,143,442","-12,723,814,823,085","-17,393,464,825,275","-22,373,032,636,220","-27,988,530,155,073","-7,618,892,500,096","-8,920,530,007,536",,,,,,
151,5. Tiền trả nợ gốc thuê tài chính,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","-59,170,812,527","-70,336,817,539","-869,978,583,067","-15,182,479,380","-52,295,079,802","-2,082,660,479","-2,288,208,062","-345,563,252",,,,,,
152,"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","-3,100,314,986,587","-3,302,601,046,376","-562,962,427,898","-1,819,427,886,486","-3,054,278,918,370","-1,916,527,001,274","-178,982,424,345","-541,565,460,385",,,,,,
153,Lưu chuyển tiền thuần từ hoạt động tài chính,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","-1,307,120,353,517","-2,727,044,567,203","6,864,947,699,872","864,974,516,907","4,202,614,407,793","-1,106,913,135,895","-7,806,288,267","1,891,541,988,324",,,,,,
