Indicator,StockID,6M_2023,6M_2024,9M_2023,9M_2024,Q1_2023,Q1_2024,Q2_2023,Q2_2024,Q3_2023,Q3_2024,Q4_2023,Q4_2024,Y_2023,Y_2024
"2. Trả trước cho người bán ngắn hạn
132",FPT,"500,907,002,679","599,121,868,182","419,601,591,333","566,097,011,978","646,447,723,206","628,462,570,207","500,907,002,679","599,121,868,182","419,601,591,333","566,097,011,978","348,405,863,076","610,379,845,664","482,074,732,731","610,379,845,664"
"2. Tài sản cố định thuê tài chính
224",FPT,"2,911,315,411","3,124,963,681","2,663,721,541","2,382,853,627","29,262,160,342","3,541,847,532","25,006,269,586","3,124,963,681","2,663,721,541","2,382,853,627","4,018,633,151","2,042,708,364","4,018,633,151","2,042,708,364"
"2. Tài sản thuế thu nhập hoãn lại
262",CMG,"240,454,534","127,793,622","196,899,741","145,650,168","260,924,979","161,039,732","240,454,533","153,344,950","196,899,741","145,650,168","168,734,514",,"168,734,514",
"2. Tài sản thuế thu nhập hoãn lại
262",FPT,"316,329,471,365","589,559,256,274","347,081,977,338","619,606,969,919","280,295,703,398","463,159,590,283","316,329,471,365","589,559,256,274","347,081,977,338","619,606,969,919","368,684,417,542","573,020,091,858","360,946,956,414","573,020,091,858"
"2. Đầu tư vào công ty liên kết, liên doanh
252",CMG,"79,278,815,985","81,513,934,986","86,015,008,690","82,126,505,839","69,940,918,070","71,377,060,121","81,609,896,206","81,513,934,986","86,015,008,690","82,126,505,839","95,204,296,379",,"93,291,473,330",
"2. Đầu tư vào công ty liên kết, liên doanh
252",FPT,"1,962,107,657,781","1,964,698,503,482","2,012,251,531,833","2,107,973,088,950","2,251,512,534,598","2,186,084,508,454","1,962,107,657,781","1,964,698,503,482","2,012,251,531,833","2,107,973,088,950","2,140,003,690,320","2,282,142,017,143","2,107,616,686,383","2,282,142,017,143"
"20. Lãi suy giảm trên cổ phiếu
71",CMG,"1,006",747,"1,482","1,412",557,438,451,320,,665,,,"1,511",
"20. Lãi suy giảm trên cổ phiếu
71",FPT,"2,374","2,515","3,744","3,945","1,361","1,416","1,373","1,098","1,373","1,430",925,994,"4,661","4,940"
"3. Chi phí phải trả dài hạn
333",CMG,,,"819,945,832,396",,,,,,"819,945,832,396",,,,,
"3. Doanh thu thuần về bán hàng và cung cấp dịch vụ
10",CMG,"3,557,205,760,583","3,981,710,539,959","5,673,952,618,877","6,284,873,563,351","1,771,467,826,540","1,793,443,900,604","1,789,572,927,146","2,184,511,898,410","2,116,746,858,294","2,303,163,023,392","1,649,041,994,767",,"7,341,773,438,715",
"3. Doanh thu thuần về bán hàng và cung cấp dịch vụ
10",FPT,"24,165,743,148,205","29,338,154,829,719","37,927,488,124,062","45,240,976,545,476","11,681,378,883,303","14,092,928,413,699","12,484,364,264,902","15,245,226,416,020","13,761,744,975,857","15,902,821,715,757","14,690,412,703,323","17,607,817,805,892","52,617,900,827,385","62,848,794,351,368"
"3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động
08",CMG,"353,709,036,044","369,461,506,584","620,224,261,188","741,843,170,362","193,854,404,099","201,708,340,580",,,,,,,"793,348,624,067",
"3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động
08",FPT,"4,785,221,947,726","6,010,658,597,845","7,634,215,255,045","9,602,286,536,658","2,274,692,565,793","3,009,785,032,818",,,,,,,"10,989,758,903,879","13,599,636,338,618"
"3. Thuế và các khoản khác phải thu của nhà nước
153",CMG,"4,569,715,246","1,425,550,090","2,313,495,890","3,173,261,395","5,627,011,771","3,377,184,359","4,516,956,775","1,474,842,829","2,313,495,890","3,173,261,395","2,205,380,761",,"992,710,191",
"3. Thuế và các khoản khác phải thu của nhà nước
153",FPT,"41,414,280,322","106,764,113,418","47,041,860,558","70,187,936,409","86,153,771,056","89,469,703,306","41,414,280,322","94,689,175,815","47,041,860,558","70,187,936,409","84,181,723,091","56,757,639,039","76,405,085,212","56,757,639,039"
"3. Thuế và các khoản phải nộp Nhà nước
313",CMG,"55,117,246,200","64,519,705,187","61,228,153,274","76,366,396,252","60,246,681,873","92,456,089,449","54,695,984,849","64,568,142,288","61,228,153,274","76,366,396,252","58,040,393,260",,"60,602,267,476",
"3. Thuế và các khoản phải nộp Nhà nước
313",FPT,"810,433,730,049","1,346,405,732,978","1,069,087,225,876","1,674,374,835,631","643,415,651,157","958,840,995,271","810,546,803,780","1,334,330,795,375","1,069,087,225,876","1,674,374,835,631","1,433,245,828,828","2,292,659,239,333","1,432,356,605,157","2,292,659,239,333"
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác
23",CMG,"-336,219,500,000","-1,094,604,675,342","-1,016,279,029,875","-1,985,077,937,742","-247,141,500,000","-465,000,000,000",,,,,,,"-1,264,530,144,009",
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác
23",FPT,"-20,690,386,390,837","-20,781,389,789,643","-26,269,712,367,763","-29,029,349,641,037","-6,731,446,119,194","-8,977,359,495,900",,,,,,,"-33,536,189,070,356","-42,719,959,806,556"
"3. Tiền thu từ đi vay
33",CMG,"1,131,727,699,991","1,644,410,788,668","1,795,790,302,621","2,158,681,725,907","752,302,171,667","494,000,478,769",,,,,,,"2,486,425,351,705",
"3. Tiền thu từ đi vay
33",FPT,"18,314,147,879,307","17,715,806,721,939","26,674,749,246,929","25,165,725,449,525","6,698,228,161,444","10,487,172,776,046",,,,,,,"34,271,246,237,260","31,902,618,824,586"
"3. Tài sản cố định vô hình
227",CMG,"442,202,988,378","413,603,964,984","433,417,632,337","407,579,255,813","448,224,548,407","436,281,319,926","442,195,084,248","421,874,013,528","433,417,632,337","407,579,255,813","445,724,960,216",,"446,560,513,616",
"3. Tài sản cố định vô hình
227",FPT,"1,196,343,189,731","1,514,388,060,284","1,182,003,245,562","1,540,006,581,949","1,241,552,636,223","1,512,918,754,652","1,196,343,189,731","1,707,218,886,272","1,182,003,245,562","1,540,006,581,949","1,257,097,141,433","2,039,520,516,122","1,257,097,141,433","2,039,520,516,122"
"3. Đầu tư góp vốn vào đơn vị khác
253",FPT,"2,432,093,749,312","2,957,192,860,629","2,562,675,236,710","3,127,281,986,657","2,364,550,933,343","2,949,336,301,696","2,432,093,749,312","2,957,192,860,629","2,562,675,236,710","3,127,281,986,657","2,830,355,013,038","3,393,737,969,842","2,830,348,813,038","3,393,737,969,842"
"3. Đầu tư nắm giữ đến ngày đáo hạn
123",CMG,"937,060,013,616","1,193,766,429,476","1,043,370,543,491","1,283,864,291,876","832,982,013,616","1,164,096,529,695","937,060,013,616","1,223,773,029,476","1,043,370,543,491","1,283,864,291,876","1,099,061,029,695",,"1,112,061,029,695",
"3. Đầu tư nắm giữ đến ngày đáo hạn
123",FPT,"20,451,941,376,989","19,916,062,543,669","19,618,195,845,890","19,442,595,123,064","13,860,719,245,281","18,230,159,723,426","20,451,941,376,989","19,916,062,543,669","19,618,195,845,890","19,442,595,123,064","16,104,205,358,010","21,785,213,686,808","16,104,205,358,010","21,785,213,686,808"
"4. Dự phòng đầu tư tài chính dài hạn
254",FPT,"-1,369,231,580,684","-1,846,188,513,530","-1,371,830,139,589","-2,021,313,614,527","-1,379,053,572,890","-1,740,061,654,916","-1,369,231,580,684","-1,846,188,513,530","-1,371,830,139,589","-2,021,313,614,527","-1,623,156,391,089","-2,357,065,169,334","-1,623,156,391,089","-2,357,065,169,334"
"4. Giá vốn hàng bán
11",CMG,"2,939,667,481,975","3,313,541,026,454","4,649,751,623,608","5,170,692,887,314","1,466,816,664,311","1,453,960,475,032","1,481,152,125,761","1,856,568,001,773","1,710,084,141,633","1,857,151,860,860","1,316,177,035,151",,"5,967,174,723,850",
"4. Giá vốn hàng bán
11",FPT,"14,964,039,840,474","18,176,331,826,734","23,229,415,849,315","27,920,197,878,085","7,113,499,882,609","8,582,462,733,612","7,850,539,957,865","9,593,869,093,122","8,265,376,008,841","9,743,866,051,351","9,058,549,143,162","11,128,844,453,966","32,298,347,382,703","39,049,042,332,051"
"4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng
134",FPT,"227,380,785,100","196,821,565,607","229,678,782,310","194,158,152,911","231,842,985,934","190,429,912,043","227,380,785,100","196,821,565,607","229,678,782,310","194,158,152,911","182,965,994,736","136,097,256,629","176,770,894,412","136,097,256,629"
"4. Phải trả người lao động
314",CMG,"158,072,077,521","184,396,316,727","174,961,494,321","205,468,326,429","165,410,206,412","138,211,182,317","158,053,954,096","184,386,389,172","174,961,494,321","205,468,326,429","217,570,028,973",,"204,275,598,691",
"4. Phải trả người lao động
314",FPT,"2,508,104,116,971","3,918,326,517,458","3,589,458,007,695","4,450,898,103,166","1,860,796,729,871","2,685,858,614,485","2,508,104,116,971","3,918,326,517,458","3,589,458,007,695","4,450,898,103,166","3,761,187,996,351","4,267,635,878,722","3,734,341,060,086","4,267,635,878,722"
"4. Tiền chi trả nợ gốc vay
34",CMG,"-825,960,875,743","-1,372,136,363,593","-1,352,130,310,938","-1,938,837,547,387","-503,903,819,684","-430,553,552,591",,,,,,,"-2,228,808,929,540",
"4. Tiền chi trả nợ gốc vay
34",FPT,"-11,135,325,229,034","-15,155,182,193,737","-19,831,973,216,181","-24,615,031,864,140","-6,685,088,864,823","-7,982,467,720,579",,,,,,,"-32,551,882,452,709","-30,969,562,801,308"
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác
24",CMG,"636,695,426,790","1,012,899,275,561","1,210,444,426,790","1,813,274,675,561","501,695,426,790","412,964,500,000",,,,,,,"1,388,005,054,720",
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác
24",FPT,"13,215,936,311,550","16,951,115,465,984","19,629,169,478,412","25,677,033,974,264","5,858,264,271,833","6,851,263,040,484",,,,,,,"30,458,251,083,042","37,047,149,067,817"
"4. Tài sản dài hạn khác
268",CMG,,,,,,,"6,500,000",,,,,,,
"4. Vốn khác của chủ sở hữu
414",CMG,"328,912,815,733","371,662,664,388","371,562,805,278","371,662,664,388","328,912,815,733","371,662,664,388","328,912,815,733","371,662,664,388","371,562,805,278","371,662,664,388","371,562,805,278",,"371,662,664,388",
"4. Vốn khác của chủ sở hữu
414",FPT,"1,179,064,868,147","1,928,079,706,361","1,179,064,868,147","1,928,079,706,361","1,179,064,868,147","1,928,079,706,361","1,179,064,868,147","1,928,079,706,361","1,179,064,868,147","1,928,079,706,361","1,928,602,158,147","1,929,012,703,454","1,928,602,158,147","1,929,012,703,454"
"5. Chi phí phải trả ngắn hạn
315",CMG,"564,176,552,233","665,064,009,477","591,285,438,656","603,251,086,795","507,702,725,912","495,543,568,954","552,494,597,433","609,988,701,226","591,285,438,656","603,251,086,795","459,365,876,300",,"434,193,834,040",
"5. Chi phí phải trả ngắn hạn
315",FPT,"916,361,897,808","1,089,742,264,001","1,164,543,242,031","1,331,750,914,463","847,818,189,824","934,931,288,233","925,737,646,121","1,089,742,264,001","1,164,543,242,031","1,331,750,914,463","882,930,232,561","1,253,394,342,965","848,293,082,410","1,253,394,342,965"
"5. Cổ phiếu quỹ (*)
415",CMG,"-181,000,000","-418,000,000",,"-28,000,000",,"-286,000,000","-181,000,000","-418,000,000",,"-28,000,000",,,,
"5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ
20",CMG,"617,538,278,608","668,169,513,505","1,024,200,995,269","1,114,180,676,037","304,651,162,229","339,483,425,572","308,420,801,385","327,943,896,637","406,662,716,661","446,011,162,532","332,864,959,616",,"1,374,598,714,865",
"5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ
20",FPT,"9,201,703,307,731","11,161,823,002,985","14,698,072,274,747","17,320,778,667,391","4,567,879,000,694","5,510,465,680,087","4,633,824,307,037","5,651,357,322,898","5,496,368,967,016","6,158,955,664,406","5,631,863,560,161","6,478,973,351,926","20,319,553,444,682","23,799,752,019,317"
5. Lợi thế thương mại,CMG,"333,977,372","236,227,897","309,540,003","211,790,528","285,102,634","260,665,265","342,123,161","236,227,897","309,540,003","211,790,528","285,102,634",,"285,102,634",
5. Lợi thế thương mại,FPT,"693,010,132,357","1,479,792,163,477","755,457,584,159","1,434,724,678,776","715,362,979,924","1,611,723,437,032","693,010,132,357","1,334,758,371,476","755,457,584,159","1,434,724,678,776","1,283,790,079,129","1,097,458,206,678","1,283,790,079,129","1,097,458,206,678"
"5. Phải thu về cho vay dài hạn
215",FPT,"729,134,337","298,168,000","582,878,037","897,416,719","1,002,905,644",,"729,134,337","298,168,000","582,878,037","897,416,719",,"2,509,722,351",,"2,509,722,351"
"5. Phải thu về cho vay ngắn hạn
135",FPT,"50,562,368,657","18,634,400,000","50,546,966,120","33,543,915,000","50,766,311,424","657,520,000","50,562,368,657","18,634,400,000","50,546,966,120","33,543,915,000","515,430,000","9,808,117,590","515,430,000","9,808,117,590"
"5. Tiền chi đầu tư góp vốn vào đơn vị khác
25",FPT,"-438,093,586,950","-743,960,957,320","-698,981,637,940","-838,310,605,784","-306,515,795,863","-733,152,087,882",,,,,,,"-1,753,619,182,518","-1,173,202,586,172"
"5. Tiền trả nợ gốc thuê tài chính
35",CMG,"-825,960,875,743",,,,,,,,,,,,,
"5. Tiền trả nợ gốc thuê tài chính
35",FPT,"-29,517,188,616","-681,960,672","-29,811,895,740","-2,082,660,479","-2,288,208,062","-345,563,252",,,,,,,"-30,169,775,111","-2,305,346,865"
"5. Đầu tư nắm giữ đến ngày đáo hạn
255",CMG,,"2,000,000,000",,"2,000,000,000","150,000,000,000","2,000,000,000",,"2,000,000,000",,"2,000,000,000",,,"2,000,000,000",
"5. Đầu tư nắm giữ đến ngày đáo hạn
255",FPT,"20,200,000,000","20,200,000,000","20,200,000,000","200,000,000","20,200,000,000","20,200,000,000","20,200,000,000","20,200,000,000","20,200,000,000","200,000,000","20,200,000,000","200,000,000","20,200,000,000","200,000,000"
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu
36",CMG,"-488,722,803","-57,998,811","-88,630,512,637","-64,558,541,978",,,,,,,,,"-128,145,845,124",
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu
36",FPT,"-556,832,638,995","-1,804,225,367,769","-2,928,770,888,520","-1,822,344,454,346","-178,957,765,195","-535,074,322,385",,,,,,,"-2,930,628,448,135","-3,291,859,792,121"
"6. Doanh thu chưa thực hiện dài hạn
336",CMG,"32,411,722,875","23,607,461,255",,"29,102,284,628","37,330,359,435","28,025,543,439","32,951,297,069","29,900,769,146",,"29,102,284,628","32,468,661,856",,"32,383,322,687",
"6. Doanh thu chưa thực hiện dài hạn
336",FPT,"132,677,336,296","129,106,508,320","134,553,566,063","136,336,645,256","118,220,396,437","125,499,512,897","132,677,336,296","129,106,508,320","134,553,566,063","136,336,645,256","132,927,038,647","131,344,534,204","132,927,038,647","131,344,534,204"
"6. Doanh thu hoạt động tài chính
21",CMG,"64,001,368,430","59,223,920,515","92,760,404,390","80,515,820,958","27,050,361,269","26,612,169,333","35,129,608,072","33,857,109,847","28,759,035,960","21,291,900,443","27,770,602,566",,"119,140,661,759",
"6. Doanh thu hoạt động tài chính
21",FPT,"1,299,520,662,069","1,026,385,524,509","1,815,723,708,484","1,353,074,531,365","676,476,546,426","457,092,979,986","623,044,115,643","569,292,544,523","516,203,046,415","326,689,006,856","520,345,470,835","576,398,372,443","2,336,069,089,819","1,929,472,903,808"
"6. Phải thu dài hạn khác
216",CMG,"31,139,260,478","32,462,188,913","35,216,974,434","31,330,621,193","33,275,310,449","32,112,406,901","31,121,826,159","32,431,960,673","35,216,974,434","31,330,621,193","33,743,654,777",,"34,471,981,257",
"6. Phải thu dài hạn khác
216",FPT,"280,432,794,993","367,722,195,710","289,197,032,318","398,299,567,069","274,630,125,271","372,045,169,185","280,432,794,993","367,722,195,710","289,197,032,318","398,299,567,069","299,779,688,236","381,508,926,294","299,764,585,187","381,508,926,294"
"6. Phải thu ngắn hạn khác
136",CMG,"107,059,063,621","114,464,770,659","127,685,387,700","108,133,392,474","138,610,296,806","138,599,994,460","128,127,883,780","116,897,242,399","127,685,387,700","108,133,392,474","95,611,846,923",,"78,178,479,881",
"6. Phải thu ngắn hạn khác
136",FPT,"950,333,045,093","853,765,844,605","1,003,092,487,869","900,121,856,114","1,194,702,771,309","819,717,532,596","950,333,045,093","853,765,844,605","1,003,092,487,869","900,121,856,114","869,495,265,613","706,219,898,391","869,491,618,296","706,219,898,391"
"6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác
26",CMG,,,,,,,,,,,,,"5,734,598,605",
"6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác
26",FPT,,,"94,939,906,000",,,,,,,,,,"94,939,906,000","48,102,486,048"
"7. Chi phí tài chính
22",CMG,"53,672,716,519","48,215,636,477","83,154,613,479","84,871,130,584","25,771,614,641","23,446,923,323","25,969,669,468","25,642,068,945","29,481,896,960","36,655,494,107","19,995,256,689",,"102,377,440,273",
"7. Chi phí tài chính
22",FPT,"784,313,791,818","671,993,179,669","1,190,742,078,947","980,171,986,548","496,815,340,139","334,065,273,301","287,498,451,679","337,927,906,368","406,428,287,129","308,178,806,879","527,556,384,763","831,375,395,433","1,718,298,463,710","1,811,547,381,981"
"7. Chênh lệch tỷ giá hối đoái
417",CMG,"-1,769,069,984","-8,066,562,433","2,437,575,525","-1,967,671,258","382,081,787","1,780,782,766","961,405,538","4,428,987,418","2,437,575,525","-1,967,671,258","684,299,390",,"-2,802,521,280",
"7. Chênh lệch tỷ giá hối đoái
417",FPT,"-63,672,534,687","-54,246,270,885","-51,363,368,317","-29,631,639,215","-41,422,767,659","-39,209,406,195","-63,772,974,808","-54,246,270,878","-51,363,368,317","-29,631,639,215","-17,000,608,261","-49,482,336,677","-17,778,502,626","-49,482,336,677"
"7. Dự phòng phải thu dài hạn khó đòi
219",FPT,"-52,372,482,637","-52,372,482,637","-52,372,482,637","-52,372,482,637","-52,372,482,637","-52,372,482,637","-52,372,482,637","-52,372,482,637","-52,372,482,637","-52,372,482,637","-52,372,482,637","-52,372,482,637","-52,372,482,637","-52,372,482,637"
"7. Dự phòng phải thu ngắn hạn khó đòi
137",CMG,"-52,705,372,212","-44,575,314,501","-51,787,782,951","-46,057,399,322","-52,037,295,901","-46,187,179,564","-53,056,809,994","-44,575,314,501","-51,787,782,951","-46,057,399,322","-45,642,143,229",,"-45,642,143,230",
"7. Dự phòng phải thu ngắn hạn khó đòi
137",FPT,"-762,287,445,920","-985,076,830,775","-810,601,939,661","-618,598,751,821","-747,991,330,676","-978,160,227,586","-762,287,445,920","-985,076,830,775","-810,601,939,661","-618,598,751,821","-912,156,645,080","-619,531,925,859","-912,156,645,080","-619,531,925,859"
"7. Phải trả dài hạn khác
337",CMG,"7,720,012,103","14,691,038,608",,"14,244,547,447","4,256,391,697","13,646,524,099","7,629,237,965","14,476,511,519",,"14,244,547,447","13,424,327,297",,"4,655,319,289",
"7. Phải trả dài hạn khác
337",FPT,"30,884,265,518","194,225,709,333","31,144,281,527","191,578,670,665","28,780,542,089","186,678,090,522","30,884,265,518","194,225,709,333","31,144,281,527","191,578,670,665","41,914,135,058","183,788,442,785","41,914,135,058","183,788,442,785"
"7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng
317",FPT,"83,376,234,795","80,065,381,119","92,239,834,804","73,935,649,016","63,181,791,091","71,558,000,530","83,376,234,795","80,065,381,119","92,239,834,804","73,935,649,016","78,456,375,540","92,738,882,375","78,456,375,540","92,738,882,375"
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia
27",CMG,"51,971,942,498","55,777,581,907","63,476,120,852","69,163,492,190","26,145,435,927","8,610,807,382",,,,,,,"125,778,792,819",
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia
27",FPT,"1,143,235,341,351","891,454,904,922","1,487,259,254,290","1,255,875,051,966","232,671,727,970","284,299,976,870",,,,,,,"2,137,225,525,330","1,597,095,527,760"
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết
24",CMG,"20,744,909,194","19,077,461,656","33,652,131,899","25,861,032,509","9,093,047,521","8,940,586,791","11,669,078,136","10,136,874,865","12,907,222,705","6,783,570,853","9,189,287,689",,"40,928,455,290",
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết
24",FPT,"-21,991,233,743","133,055,565,309","17,904,876,639","275,636,514,084","43,757,073,944","74,454,138,017","-65,748,307,687","58,601,427,292","39,896,110,382","142,580,948,775","58,146,301,170","117,814,322,579","42,347,008,961","393,450,836,663"
"8. Quỹ đầu tư phát triển
418",FPT,"1,186,162,995,340","1,689,800,219,262","1,278,251,861,087","1,785,871,347,912","1,134,117,262,506","1,626,776,630,590","1,186,162,995,340","1,689,800,219,262","1,278,251,861,087","1,785,871,347,912","1,559,995,344,872","2,108,953,405,345","1,549,850,939,920","2,108,953,405,345"
"8. Tài sản thiếu chờ xử lý
139",CMG,"32,400,100",,"32,400,100",,,,"32,400,100",,"32,400,100",,"32,400,100",,,
"8. Vay và nợ thuê tài chính dài hạn
338",CMG,"756,384,573,618","848,482,079,782",,"891,691,476,251","719,772,604,317","858,454,490,826","789,260,713,932","940,939,066,685",,"891,691,476,251","768,905,865,740",,"667,033,109,046",
"8. Vay và nợ thuê tài chính dài hạn
338",FPT,"214,538,478,651","478,494,331,122","172,070,230,363","478,259,485,405","312,845,373,321","525,148,987,126","229,405,973,901","478,494,331,122","172,070,230,363","478,259,485,405","208,074,996,962","501,115,537,075","208,074,996,962","501,115,537,075"
"9. Chi phí bán hàng
25",CMG,"216,550,823,926","254,121,841,929","338,321,358,071","388,123,155,146","99,387,896,087","120,246,938,151","113,411,313,314","131,288,108,928","121,770,534,145","134,001,313,217","140,704,571,490",,"490,804,425,400",
"9. Chi phí bán hàng
25",FPT,"2,340,168,068,255","2,957,160,954,915","3,774,342,423,202","4,521,023,898,551","1,101,871,534,159","1,368,948,625,743","1,238,296,534,096","1,588,212,329,172","1,434,174,354,947","1,563,862,943,636","1,316,156,285,395","1,684,353,616,264","5,242,551,906,960","6,205,377,514,815"
"9. Phải trả ngắn hạn khác
319",CMG,"99,535,781,055","153,780,538,085","135,222,136,993","100,042,128,155","91,484,550,912","122,804,652,037","109,470,524,613","162,612,404,024","135,222,136,993","100,042,128,155","114,444,773,463",,"116,928,061,727",
"9. Phải trả ngắn hạn khác
319",FPT,"618,182,713,945","836,477,698,929","681,220,123,792","867,644,213,813","634,283,296,673","741,151,780,407","618,182,641,414","836,477,698,929","681,220,123,792","867,644,213,813","1,007,219,232,845","916,333,996,623","1,015,101,605,957","916,333,996,623"
"A. NỢ PHẢI TRẢ
300",CMG,"3,664,983,624,924","4,215,357,718,846","4,005,504,851,395","4,134,017,543,403","3,802,846,762,524","3,862,931,974,822","3,707,986,170,978","4,251,332,757,759","4,005,504,851,395","4,134,017,543,403","3,580,664,357,223",,"3,509,624,914,652",
"A. NỢ PHẢI TRẢ
300",FPT,"31,929,066,630,167","32,549,802,380,215","33,707,020,718,946","32,217,402,904,957","23,679,982,202,458","30,297,604,017,265","31,961,501,828,355","32,537,727,442,612","33,707,020,718,946","32,217,402,904,957","30,376,921,097,518","36,216,611,816,559","30,349,816,316,666","36,216,611,816,559"
"A. TÀI SẢN NGẮN HẠN
100",CMG,"3,316,191,269,926","3,909,684,431,373","3,677,882,981,289","3,964,438,144,719","3,234,754,675,314","3,587,665,352,310","3,366,116,034,817","3,962,958,353,899","3,677,882,981,289","3,964,438,144,719","3,247,345,451,532",,"3,172,994,142,785",
"A. TÀI SẢN NGẮN HẠN
100",FPT,"38,758,427,341,944","40,835,231,143,696","39,531,943,273,981","42,605,105,704,316","29,524,492,711,606","37,679,149,034,489","38,758,396,857,258","40,823,156,206,093","39,531,943,273,981","42,605,105,704,316","36,709,543,350,385","45,475,495,956,466","36,705,751,751,876","45,475,495,956,466"
"B. TÀI SẢN DÀI HẠN
200",CMG,"3,583,877,541,773","3,739,381,801,632","3,601,151,448,211","3,755,296,722,147","3,739,092,435,872","3,715,870,853,475","3,581,746,949,128","3,733,593,976,373","3,601,151,448,211","3,755,296,722,147","3,674,914,350,263",,"3,680,778,687,113",
"B. TÀI SẢN DÀI HẠN
200",FPT,"21,765,967,171,287","24,451,014,484,828","22,580,733,074,663","24,976,481,427,066","21,216,668,704,842","24,345,556,013,940","21,798,289,368,274","24,498,811,518,815","22,580,733,074,663","24,976,481,427,066","23,615,732,701,547","26,537,742,279,063","23,577,075,781,023","26,537,742,279,063"
"B. VỐN CHỦ SỞ HỮU
400",CMG,"3,235,085,186,775","3,433,708,514,159","3,273,529,578,105","3,585,717,323,463","3,171,000,348,662","3,440,604,230,963","3,239,876,812,967","3,445,219,572,513","3,273,529,578,105","3,585,717,323,463","3,341,595,444,572",,"3,344,147,915,246",
"B. VỐN CHỦ SỞ HỮU
400",FPT,"28,595,327,883,064","32,736,443,248,309","28,405,655,629,698","35,364,184,226,425","27,061,179,213,990","31,727,101,031,164","28,595,184,397,177","32,784,240,282,296","28,405,655,629,698","35,364,184,226,425","29,948,354,954,414","35,796,626,418,970","29,933,011,216,233","35,796,626,418,970"
"Chi phí lãi vay
06",CMG,"49,438,123,235","38,536,479,475","74,235,389,762","62,831,152,749","20,487,444,338","18,209,569,564",,,,,,,"83,069,123,005",
"Chi phí lãi vay
06",FPT,"360,349,673,634","287,959,142,187","626,004,538,029","416,785,092,788","147,985,668,274","137,833,720,086",,,,,,,"832,648,611,261","551,639,361,786"
"Các khoản dự phòng
03",CMG,"4,247,893,264","-548,704,869","2,670,605,498","4,189,857,682","-64,581,581","527,056,017",,,,,,,"9,270,112,767",
"Các khoản dự phòng
03",FPT,"154,241,022,337","95,308,780,408","169,410,793,569","279,933,876,958","127,203,042,533","81,105,147,752",,,,,,,"677,928,749,053","1,090,451,390,915"
"I. Các khoản phải thu dài hạn
210",CMG,"31,139,260,478","32,462,188,913","35,216,974,434","31,330,621,193","33,275,310,449","32,112,406,901","31,121,826,159","32,431,960,673","35,216,974,434","31,330,621,193","33,743,654,777",,"34,471,981,257",
"I. Các khoản phải thu dài hạn
210",FPT,"228,789,446,693","315,647,881,073","237,407,427,718","346,824,501,151","223,260,548,278","319,672,686,548","228,789,446,693","315,647,881,073","237,407,427,718","346,824,501,151","247,407,205,599","331,646,166,008","247,392,102,550","331,646,166,008"
"I. Nợ ngắn hạn
310",CMG,"2,826,327,145,863","3,284,897,106,266","3,095,309,641,099","3,163,826,545,205","2,994,574,221,959","2,926,815,865,460","2,836,004,521,269","3,222,336,377,471","3,095,309,641,099","3,163,826,545,205","2,732,743,067,264",,"2,774,430,728,562",
"I. Nợ ngắn hạn
310",FPT,"31,286,939,836,444","31,353,291,224,627","33,050,415,339,821","30,969,636,903,539","23,043,504,756,733","29,033,182,945,777","31,322,666,455,571","31,341,216,287,024","33,050,415,339,821","30,969,636,903,539","29,667,280,422,306","34,780,312,270,522","29,651,673,556,227","34,780,312,270,522"
"I. Tiền và các khoản tương đương tiền
110",CMG,"393,430,237,680","566,558,092,767","608,583,417,327","660,740,835,818","253,394,381,756","474,869,945,278","393,286,892,626","536,522,065,195","608,583,417,327","660,740,835,818","525,856,345,129",,"510,579,888,457",
"I. Tiền và các khoản tương đương tiền
110",FPT,"6,236,475,101,406","6,836,262,549,195","7,153,625,069,795","7,935,632,407,357","3,289,424,451,229","6,341,457,504,996","6,236,475,101,406","6,836,262,549,195","7,153,625,069,795","7,935,632,407,357","8,279,156,683,221","9,315,440,438,884","8,279,156,683,221","9,315,440,438,884"
"I. Vốn chủ sở hữu
410",CMG,"3,235,085,186,775","3,433,708,514,159","3,273,529,578,105","3,585,717,323,463","3,171,000,348,662","3,440,604,230,963","3,239,876,812,967","3,445,219,572,513","3,273,529,578,105","3,585,717,323,463","3,341,595,444,572",,"3,344,147,915,246",
